Designator,Footprint,Quantity,Value,LCSC Part #
_2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_3_Open,
,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
C1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47uF,
"C2, C4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1nF,
"C3, C7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10uF,
C5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,BPFC_C,
C6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100nF,
J1,PinHeader_1x03_P2.54mm_Vertical,1,BioAmp Output,
J2,PinHeader_1x03_P2.54mm_Vertical,1,BioAmp Input,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
"R10, R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,220K,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,0R,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,BPFC_R,
"R13, R14, R3, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,1M,
"R5, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,22K,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,RG,
U1,TSSOP-14_4.4x5mm_P0.65mm,1,Amp,
