Designator,Mid X,Mid Y,Rotation,Layer
_2,99.0,-115.0,0.0,bottom
,98.65,-119.0,0.0,bottom
C1,78.385,-86.525,0.0,top
C2,78.385,-90.575,0.0,top
C3,78.385,-94.625,0.0,top
C4,78.385,-98.675,0.0,top
C5,78.385,-102.725,0.0,top
C6,78.385,-106.775,0.0,top
C7,78.385,-110.825,0.0,top
J1,75.295,-118.0,0.0,top
J2,84.0,-118.0,0.0,top
R1,89.155,-86.525,0.0,top
R10,99.925,-94.625,0.0,top
R11,99.925,-98.675,0.0,top
R12,99.925,-102.725,0.0,top
R13,99.925,-106.775,0.0,top
R14,99.925,-110.825,0.0,top
R2,89.155,-90.575,0.0,top
R3,89.155,-94.625,0.0,top
R4,89.155,-98.675,0.0,top
R5,89.155,-102.725,0.0,top
R6,89.155,-106.775,0.0,top
R7,89.155,-110.825,0.0,top
R8,99.925,-86.525,0.0,top
R9,99.925,-90.575,0.0,top
U1,92.5,-120.0,270.0,top
